consumer_name,consumer_nb_review_writed,stars,title_review,content_review,date_experience,company
Baptiste Joreau,1,5,Meilleur site de vap,Rien à dire!Site et qualité de services au top!,21 février 2021,www.lepetitvapoteur.com
Laurent Quill,1,5,Pour moi le meilleur de la vape,"Pour moi le meilleur de la vape, de larges gammes en marques eliquides, de bons renseignements,prix acceptables, rien à dire.Continuez ainsi ne changez rien",20 février 2021,www.lepetitvapoteur.com
Macc,1,5,Jamais déçu,"Jamais déçu, toujours rapide et large choix très sérieux",20 février 2021,www.lepetitvapoteur.com
Client,2,4,site sérieux,"site sérieux, livraison rapide, un peu plus souvent d'échantillon de liquide a tester serai bien",20 février 2021,www.lepetitvapoteur.com
babou,2,5,Super site aussi bien pour les…,"Super site aussi bien pour les débutants que pour les pros, toujours un vendeur dispo pour des renseignementslivraison rapide",20 février 2021,www.lepetitvapoteur.com
Syssy,1,5,Livraison rapide,"Livraison rapide, pas cher et de qualité. Facile à faire car tout est expliqué sur le site. Ravie de mes achats. Merci",20 février 2021,www.lepetitvapoteur.com
Chris Chris,1,5,Satisfaite,"Livraison rapide, grand choix de goûts et tarifs assez raisonnables.",19 février 2021,www.lepetitvapoteur.com
Jo Djo,1,5,Toujours impeccable,"Toujours impeccable, livraison très rapide. Produit toujours bien emballé et tarif correct. Rien à reprocher.",19 février 2021,www.lepetitvapoteur.com
jp remy,1,5,Toujours impeccable,,19 février 2021,www.lepetitvapoteur.com
William Finet,1,5,Toujours au top,"Toujours au top! En plus toujours un petit goodie ou un cadeau, ou les deux... que demander de plus! Eux savent soigner leurs clients! Livraison rapide, colis propre et bien fait! Pourquoi aller ailleurs?! De toute façon il n'y a pas mieux...",19 février 2021,www.lepetitvapoteur.com
alex,1,5,au top,"Très bon conseils, commandes très rapide, prix relativement bas, super SAV.Je recommande à 200%",19 février 2021,www.lepetitvapoteur.com
vanneste,1,5,Clair,"Clair, rapide, pas cher...",18 février 2021,www.lepetitvapoteur.com
Paul-Louis Biscarrat,1,5,Au top,"Au top ! Livraison rapide, produits de qualités... Même le SAV est rapide et sympa ! Ne changez rien !",18 février 2021,www.lepetitvapoteur.com
Anne Marie Telliez,1,5,Toujours aussi sérieux,"Toujours aussi sérieux. Livraison très rapide, je recommande sans hésitation.",18 février 2021,www.lepetitvapoteur.com
sylvie sylvie chevallier,2,5,Toujours aussi qualitatif !!!,,18 février 2021,www.lepetitvapoteur.com
Juliette,1,5,Top !,"Je commande souvent sur ce site et je suis toujours satisfaite, je recommande vivement",17 février 2021,www.lepetitvapoteur.com
Jean Luc Ricoux,1,5,Très très bien sérieux et rapide,,17 février 2021,www.lepetitvapoteur.com
marie-pierre bonel,14,5,Le site est parfait et facile…,Le site est parfait et facile d'utilisation.,17 février 2021,www.lepetitvapoteur.com
Nathalie Lauvernay Eymas,1,5,Toujours satisfaite par ce site j adore,,16 février 2021,www.lepetitvapoteur.com
JN TREBES,5,5,Perfect,"Comme d'habitude du choix, une livraison ultra rapide, colis nickel.Totalement satisfait",16 février 2021,www.lepetitvapoteur.com
Luc Pellerin,1,5,Tres sérieux,,16 février 2021,www.lepetitvapoteur.com
Joel,4,5,Top rapide comme d’habitude je…,Top rapide comme d’habitude je recommande 👍🏻,16 février 2021,www.lepetitvapoteur.com
Thomas,1,4,Rapide et sérieux jamais déçu,,16 février 2021,www.lepetitvapoteur.com
Julien,2,5,Toujours au top 👍🏻,Ça faisait quelques années que je n’avais pas commandé.Le sérieux et le service n’a pas changé ! Vous êtes toujours au top 👌🏻 Ne changer rien !,12 février 2021,www.lepetitvapoteur.com
Eric Sdn,1,5,Rapide et efficace !!!!,,16 février 2021,www.lepetitvapoteur.com
Omar AMRHAR,1,5,Jamais déçu toujours dans les temps je…,Jamais déçu toujours dans les temps je recommande vivement !!!,15 février 2021,www.lepetitvapoteur.com
SYLVAIN DASSONVILLE,4,5,"Comme d,habitude livraison très rapide…","Comme d,habitude livraison très rapide emballage au top",16 février 2021,www.lepetitvapoteur.com
Arwen Eowyn,1,5,Merci super site je le recommande sans…,Merci super site je le recommande sans problème,15 février 2021,www.lepetitvapoteur.com
Max Damage,1,5,"nombreuses commandes, aucun reproche.","Large choix, prix corrects.Livraison toujours conforme et rapide.Bref, le site de tous les petits vapoteurs !Edit : et les conseils en ligne sont bons : ne pas hesiter à demander conseil, surtout au début car mine de rien le vapotage c'est plus technique qu'acheter son paquet de clope au bar tabac du coin.",15 février 2021,www.lepetitvapoteur.com
bernard,1,5,commande traiter rapidement et…,commande traiter rapidement et livraison rapide,15 février 2021,www.lepetitvapoteur.com
Benoît,1,5,Produit de qualité et livraison rapide…,Produit de qualité et livraison rapide . Je ne peux que recommander ce site,15 février 2021,www.lepetitvapoteur.com
Bazooka Off,1,5,EXCELLENT 😀,Alors sa fait plus de 1 ans que je commande chez pour créé mes produits de cigarette .acheté mes cigarettes excellent produit livré rapidement je recommande a 100% 😀,11 février 2021,www.lepetitvapoteur.com
mamoun poppins,6,5,Excellent !!,"J'ai passé commande vendredi matin à 9h . J'ai reçu ma.commande lundi matin à la première heure ! Quelle bonne surprise de trouver en plus, pour 17,90 € de commande, 3 goodies ! C'était ma première commande mais croyez moi, je n'irai plus jamais allieurs ! Nous sommes en plus averti a chaque étape de la commande jusqu'à la réception !Boutique et site internet exceptionnels !!",15 février 2021,www.lepetitvapoteur.com
Pierini Caroline,2,5,Excellent site,Excellent site. Livraison aussi rapide qu'Amazon (c'est assez rare pour un site français pour être noté). Service client à l'écoute. Toujours un petit cadeau même sur les commandes de petit montant.,14 février 2021,www.lepetitvapoteur.com
Laurent Brunet,1,5,Jamais déçu site à recommander parfait,,14 février 2021,www.lepetitvapoteur.com
Lepont Manon,1,5,Toujours satisfaite.,,14 février 2021,www.lepetitvapoteur.com
hourquet,1,5,Jamais déçu,"Jamais déçularge gamme de choix, explications simples pour les débutants, prix raisonnables, colis rapides et bien préparés. LE TOP...",14 février 2021,www.lepetitvapoteur.com
client,3,5,A lire sans modérations !!!!🤣🤣,"CcFidèle cliente chez ce petit vapoteur et toujours aussi contente du site ,du choix ,de la qualité ,de la rapidité, des points de fidélité, du chat en live, de la sécurité du site,- d une équipe dynamique et communicante (réactive surtout l année 2020 )et et et des kdos dans le colis 😉🍬Bref vous avez compris c est top !!",13 février 2021,www.lepetitvapoteur.com
Mylène Mendiboure,1,5,Perfecto ⭐⭐⭐⭐⭐,"Bons produits, je n'ai rien à redire, le site est très bien fait ! Je recommande à 1000%",13 février 2021,www.lepetitvapoteur.com
Malou,5,5,Je commande chez eux depuis 6 ans et ce…,"Je commande chez eux depuis 6 ans et ce n'est pas prêt de s' arrêter. Grand choix de produits, fidélité et codes promos avantageux, emballage soigné, service de livraison toujours impeccable et pour couronner le tout une petite attention est glissée dans chaque commande.C'est un plaisir!",13 février 2021,www.lepetitvapoteur.com
Boubekeur Faouzi,1,5,Livraison rapide,"Livraison rapide , réductions,site internet accessible et prix raisonnables.",13 février 2021,www.lepetitvapoteur.com
patrick gros,1,5,Aucun problème,Aucun problème. Livré rapidement... Rien à dire de négatif. Que du positif.,12 février 2021,www.lepetitvapoteur.com
KALT OLIVIER,2,5,très bien et rapide,,12 février 2021,www.lepetitvapoteur.com
Pierrick MICHEL,2,5,Colis commandé le 7/02/21 et reçu le…,Colis commandé le 7/02/21 et reçu le 12/02/21 en poste internationale .,12 février 2021,www.lepetitvapoteur.com
Christopherduagri,1,5,Le site pour les vapoteurs,Le site pour les vapoteurs. Grand choix de gamme et de produit. Équipe très sérieuse. Rien a dire a part allez y les yeux fermés !!!,10 février 2021,www.lepetitvapoteur.com
Sandrine Sandrine,1,5,Comme d habitude commande livrée dans…,Comme d habitude commande livrée dans les temps !!rapide et efficace,12 février 2021,www.lepetitvapoteur.com
Lara Kounowski,1,5,Le site indispensable pour les…,"Le site indispensable pour les vapoteurs ! Large gamme, prix attractifs, livraison super rapide, points de fidélité !",12 février 2021,www.lepetitvapoteur.com
Beretta Tizi,1,5,Toujours rapide et aucun souci avec le…,Toujours rapide et aucun souci avec le matériel 👍👍,12 février 2021,www.lepetitvapoteur.com
Jean-marc Loonis,1,5,ravis du petit vapoteur prix correct…,ravis du petit vapoteur prix correct livraison rapide. un jour j'ai eu un pb de livraison non reçu le petit vapoteur m'a renvoyé ma commande,12 février 2021,www.lepetitvapoteur.com
emilie,1,5,super produit et super site,"super produit et super site, dommage que les liquides ne soit vendu que par 10ml, se qui génèrent beaucoup de plastiques. J'aimerais une solution plus écologique.",11 février 2021,www.lepetitvapoteur.com
Karine Kasper,1,5,Tout a fait satisfaite que ce soit …,"Tout a fait satisfaite que ce soit pour le site que je trouve très bien, ainsi que la rapidité pour l'envoi des colis qui eux sont très biens fait protection et respect des produits et ce que j adore ce sont les petits manettes ne changez rien 😉😉👍👍👍",11 février 2021,www.lepetitvapoteur.com
Tony Merlen,1,5,Toujours au top comme d'habitude rien a…,Toujours au top comme d'habitude rien a dire,11 février 2021,www.lepetitvapoteur.com
Nicolas METROT,1,5,Livraison très rapide.,Livraison très rapide.Relation clientèle Efficace,10 février 2021,www.lepetitvapoteur.com
Stéphanie de Crombrugghe,2,5,Toujours très satisfaite. Expédition très rapide et soignée,Expédition très rapide et très soignée.Je recommande vivement,10 février 2021,www.lepetitvapoteur.com
Geneviève Celestin,1,5,Toujours parfait,,,www.lepetitvapoteur.com
Chupa Dead,1,5,"Toujours livré en 24h ,jamais de…","Toujours livré en 24h ,jamais de soucis sur mes commandes.Je recommande fortement.",,www.lepetitvapoteur.com
Fahde El Amiri,1,5,Plusieurs fois satisfait.,Facile à trouver sur internet et en français. Des livraisons soignées et des e liquide variés. Je recommande.,,www.lepetitvapoteur.com
Cédric Schmitt,1,5,Parfait !,"Parfait, comme d'habitude !",,www.lepetitvapoteur.com
Laet Danjoux,2,5,Super site,"Je vape depuis 3 mois et c est mon site de référence, à la moindre question le site explique très bien les choses pour les débutants. La livraison est ultra rapide et en cas de problème le SAV est parfait.",,www.lepetitvapoteur.com
LE BONHOMME JOHANNA,3,5,excellent,grands choix de produits - prix abordables - sav au top,,www.lepetitvapoteur.com
Fabio Poirier,1,5,Rien a dire juste parfait ❤️,,,www.lepetitvapoteur.com
Captain Spaulding,1,5,"Site très professionnel,très sérieux","Site très professionnel,très sérieux. Livraison vraiment rapide et service client super réactif,très sérieux et correcte. Un site vraiment à recommander",,www.lepetitvapoteur.com
delvare dany,1,5,Au top !!!!!!!!!,"Simple, efficace. Des conseils que je ne retrouve nul part ailleurs. Un site et une enseigne que je recommande pour sa diversité du stock, mais aussi par sa rapidité de livraison.",,www.lepetitvapoteur.com
maudx warrior,1,5,Les commandes sont très rapides,"Les commandes sont très rapides, j’ai jamais été déçue de ce côté. Quand je reçois mes colis il y a toujours un bonbon et un sticker, j’aime beaucoup et c’est convivial. Je recommande avec plaisir ce site, il est sérieux et très professionnel.",,www.lepetitvapoteur.com
Christian Menu,1,5,Livraison comme toujours rapide et…,Livraison comme toujours rapide et produits impeccables !,,www.lepetitvapoteur.com
guillaume BARZIN,4,5,Parfait RAS Rapide,,,www.lepetitvapoteur.com
gael corvez,1,5,Au top livraison soigné et rapide,Au top livraison soigné et rapide. Très bon sav,,www.lepetitvapoteur.com
Nico,1,5,Jamais déçu,"Jamais déçu. Malgré Chronopost qui a perdu mon colis, le petit vapoteur a été très réactif et m'a adressé un nouveau colis.",,www.lepetitvapoteur.com
Client,2,5,Je recommande 👍,"Tres correct niveau prix, rapide pour la livraison, des réductions fidélité sympa et un large choix de produit. Je recommande",,www.lepetitvapoteur.com
Roland,1,5,Rien à redire,"Rien à redire. Pas cher, rapide et efficace. Merci :-)",,www.lepetitvapoteur.com
GUILLAUME H.,5,5,Délai de traitement de commande et…,Délai de traitement de commande et d'expédition irréprochables. J'ai tt reçu en moins de 48h. Parfait ! 👍👌,,www.lepetitvapoteur.com
Claire Dalichampt,1,5,Grande rapidité du traitement et de…,Grande rapidité du traitement et de lanlaivraison de la commande. Les produits sont conformes et de bonnes qualités. Très bon rapport qualité prix.,,www.lepetitvapoteur.com
isabelle Senegas,1,5,Très bien,Toujours impressionnée par la rapidité du traitement de la commande et du coup de sa livraison ! Les produits sont conformes et de bonnes qualités. Je recommande vivement 👍,,www.lepetitvapoteur.com
Amina M,1,5,"Produits de qualités,envoie rapides et…","Produits de qualités,envoie rapides et points de fidélité avantageux.Un petit bonbon en prime.Tout est toujours parfait.Je leurs suis fidèle depuis plus de 2 ans.",,www.lepetitvapoteur.com
Teddy OOSMAN,1,5,Toujours irréprochable,"Toujours impeccable,commande parfaitement conforme à la demande et les petits plus sont un vrai bonheur,un petit bonbon qui ravit ma fille un petit magnet qui ravie mon frigo😁👌🏽👍🏽.Merci à vos équipes vous êtes au top.",,www.lepetitvapoteur.com
Christophe Lafond,2,4,Bonjour à toutes et tous,Bonjour à toutes et tousJe suis satisfait de votre rapidité et de votre sérieux.,,www.lepetitvapoteur.com
karim Elazzouzi,1,5,Très rapide et efficace jamais déçu par…,Très rapide et efficace jamais déçu par le petit vapoteur,,www.lepetitvapoteur.com
nathalie feret,10,5,très bon site ras,,,www.lepetitvapoteur.com
saint yves CECILE,1,5,Parfait,"Parfait, comme d'habitude 48h c'est génial",,www.lepetitvapoteur.com
Guillaume Demeilliers,1,5,Commande et livraison rapide,Commande et livraison rapide. Une valeur sûre.,,www.lepetitvapoteur.com
trodelachance,1,5,réponse à la seconde pour connaître…,"réponse à la seconde pour connaître les résistances, et les clearomiseurs compatible avec mon "" Asvape Gabriel""(que j'avais acheté en boutique, et non sur le site)Envoi très rapideje recommande",,www.lepetitvapoteur.com
Monsieur GRANGE,2,5,Parfait comme d'habitude livraison très…,Parfait comme d'habitude livraison très rapide avec des petits bonbon ect.. Dommage qu'il y est plus de dessous de vert pour ma collection 😅,,www.lepetitvapoteur.com
Christophe Cch,1,5,Très bonne boutique en ligne,"Choix, promo, guide, fidélisation et j en passe , belle découverte sachant que les boutiques physiques ont les mêmes qualités !Bravo",,www.lepetitvapoteur.com
Cathy Dalzuffo,1,5,Très bon site,Très bon site. On trouve de tout et on est livrés en 48h. Je recommande +++,,www.lepetitvapoteur.com
Romain.C,2,5,Très bon site,,,www.lepetitvapoteur.com
d'Humières,3,5,Super site,Super site. Les prix sont inférieurs à ceux pratiqués en magasin classique et les délais de livraison sont ultra rapide. Un modèle du genre pour les autres retailers.,,www.lepetitvapoteur.com
Lucas,2,5,Je commande sur ce site plus depuis des…,"Je commande sur ce site plus depuis des années et je n'ai jamais été déçu les commandes sont expédié rapidement avec toujours un petit bonus (bonbon, stickers magnet) 🥳La seul fois ou j'ai du faire appel au SAV (colis perdu par la poste) tout c'est déroulé sans accroc avec des réponses rapide 🙏🏻Bref site largement recommandable 👍",,www.lepetitvapoteur.com
Pierre Charles-Henri Gullung-B,2,5,Excellent,"Excellent , service client au top , livraison rapide , petit sticker en cadeau dans la boite",,www.lepetitvapoteur.com
Pierre Delahaye,1,5,Rien a redire,"Excellent en tous point !! La livraison est toujours rapide, les produits très bien, et lorsqu'on a un problème le SAV réagi très rapidement et règle le problème aussi vite !Je recommande !",,www.lepetitvapoteur.com
Arthur ROBINE,1,5,Rapide et efficace,Leur site est très bien fait et tout est expliqué. Les commandes sont envoyées rapidement et en cas le problème le SAV est réactif. On sent qu’ils prennent soin de leurs clients je recommande.,,www.lepetitvapoteur.com
Agnès Thomas,2,5,Le petit vapoteur au top sérieux rapide…,Le petit vapoteur au top sérieux rapide commande impeccable toujours un petit cadeau je suis ravie je recommande vivement !!!Merci à toute l'équipe du petit vapoteur,,www.lepetitvapoteur.com
Pierre,2,5,Le petit vapoteur au top les commende …,"Le petit vapoteur au top les commende sont rapide , toujours une petite Magnette a collectionné sans oublier le petit bonbon 🤤. Et merci pour le e-liquide dark vapor 👌, ne changée rien vous êtes parfait ✌.",,www.lepetitvapoteur.com
Sawa Flocon,1,5,Super site livrer en peu de temps et…,Super site livrer en peu de temps et j'adore les petite surprise dans chacun de mes colis je les collectionne je conseille vivement ce site :),,www.lepetitvapoteur.com
Dominique Jouan,5,5,Rien à dire,"Rien à dire, tout est parfait, sauf que je n'ai pas reçu le masque LPV, je croyais être dans les temps.Tant pis.",,www.lepetitvapoteur.com
AURELIE SOHIER,4,5,Au top !,"Grand choix, livraison rapide.Zéro souci avec ce site, juste parfait.",,www.lepetitvapoteur.com
Cristelle DELAHAYE,3,5,Toujours parfait,,,www.lepetitvapoteur.com
Nostalix Gaming,1,5,Meilleur site de vap,"Site ergonomique, facile à prendre en main, commande et livraison très rapide, je ne sais pas comment ils font lpv pour toujours réussir à mettre des magnets toujours différents dans leurs colis , une petite collection s’installe !",,www.lepetitvapoteur.com
Antony Grenat,1,5,Juste au top !,"Rien à dire, réactif, rapide, de qualité et toujours aux petits soins quand on a besoin ! Un grand bravo comme toujours !",,www.lepetitvapoteur.com
client(e),2,5,Toujours réactif,Toujours réactifSav excellent !Tout y est pour rester fidèle !,,www.lepetitvapoteur.com
alexandra A,1,5,colis toujours nickel,"colis toujours nickel, petit cadeau apprécié",,www.lepetitvapoteur.com
Stimos Stims,1,5,Meilleur site de vente e-cigarette,"Livraison rapide, points de fidélité de hautes valeurs, service clients compétent.",,www.lepetitvapoteur.com
Giovanni Erpate,1,5,Au top a tout niveau 👌,,,www.lepetitvapoteur.com
Jérémy PERRIER,1,5,Parfaitement parfait,"Rien à dire, réactif, livraison rapide 😜 au top !",,www.lepetitvapoteur.com
Wadia Louhichi,1,5,Je recommande,"Livraison rapide, conseils clairs disponibles sur le site. Rien à redire. Je recommande",,www.lepetitvapoteur.com
Patricia,2,5,Super produits à tout les prix et…,Super produits à tout les prix et surtout très rapide aux niveaux livraisons,,www.lepetitvapoteur.com
JP DELAUNAY,1,5,5 étoiles,Produits toujours disponibles Interface du site excellente livraison rapide,,www.lepetitvapoteur.com
Romain Dumont,1,5,Au top!,"Efficace, rapide et pas cher. C'est le petit vapoteur que je préfère! 😅",,www.lepetitvapoteur.com
Seb,2,5,Bon produit et un des meilleurs délais…,Bon produit et un des meilleurs délais de livraison avec en plus un super sav,,www.lepetitvapoteur.com
Corinne Chantrenne,3,5,parfais comme toujours préparation et…,parfais comme toujours préparation et envoie rapide j aime beaucoup ce site,,www.lepetitvapoteur.com
Jerome Marini,1,5,Toujours aussi efficaces.,"Toujours aussi efficaces.Comme à chaque fois la commande est expédiée rapidement, très bien emballée avec toujours le petit goodies et la sucrerie qui font plaisir. Les produits sont de qualité et les conseils sur le site sont très bons. Je recommande régulièrement ce site à tous mes amis qui veulent commencer ou qui utilisent la vap.",,www.lepetitvapoteur.com
Jubert,1,5,Matériel et produits d'excellentes qualité,"Nous commandons nos produits chez le petit vapoteur depuis 2013 et n'avons jamais été déçu. Les batteries, l'ensemble des accessoires et liquides sont d'excellentes qualités. Nous recommandons.",,www.lepetitvapoteur.com
Kevin Tissot,1,5,Toujours au top,Toujours au top. Site simple à utiliser avec de bon produits avec un tarif raisonnable. Un large choix d'arôme qui peut nous y perdre des fois telement il y en as.J'ai eu besoin conseil hier par téléphone. Attente de deux minutes maxi. Un conseiller à l'écoute avec une bonne information(pour un atomiseur) merci à lui et à toute l'équipe. Et livraison super rapide,,www.lepetitvapoteur.com
Marie-Noelle Corbaz,1,5,le top du top,le top du top. tout est bien. bon rapport qualité prix. Réception de la commande en temps record. merci à toute l'équipemarie noelle,,www.lepetitvapoteur.com
Yannick,5,5,Très réactif.,,,www.lepetitvapoteur.com
Jo. Nj,2,5,Très bon service,"Très bon service, jamais un seul soucis",,www.lepetitvapoteur.com
Frederic Herzog,2,5,Excellent site et très bon rapport…,Excellent site et très bon rapport qualité prix,,www.lepetitvapoteur.com
agent present,3,5,un service au top de A à Z tout…,un service au top de A à Z tout simplement,,www.lepetitvapoteur.com
Aurélie B,1,5,Le même sérieux a chaque commande,Le même sérieux a chaque commande. Aucun souci. Je recommande,,www.lepetitvapoteur.com
Caroline,1,5,Excellent,"Je n ai jamais eu de problèmes. Les colis sont reçu correctement, la commande est toujours conforme avec toujours une petite attention, un petit cadeau.Top",,www.lepetitvapoteur.com
Jean Amaral,1,5,"Très bon site, rapide, jamais eu de problème, je recommande",Très bon site,,www.lepetitvapoteur.com
Nelson,1,5,Envoie tres rapide,,,www.lepetitvapoteur.com
