consumer_name;consumer_nb_review_writed;stars;title_review;content_review;date_experience;company;category;review;preprocess_review;sentiment;sentiment_nb;sentiment_confidence
John Abitbol;1;5.0;Site très complet, une des références de la vape;"Commandes complète , et livraison rapidesSav réactif.What else ?; )";;www.lepetitvapoteur.com;food_beverages_tobacco;"Commandes complète , et livraison rapidesSav réactif.What else ?; )";"command complète livraison rapidessav réactif what else ? ; )";1;0;1.0
LECINE BERNARD;1;4.0;Accueil,renseignements très professionels;Accueil, renseignements très professionnels.;12 mars 2021;www.comptoirdesvignes.fr;food_beverages_tobacco;Accueil, renseignements très professionnels.;accueil renseignements très professionnels;1;0;1.0
Laurent G.;3;5.0;Très bon accueil;Beaucoup de choix, accueil sympathique.;11 mars 2021;www.comptoirdesvignes.fr;food_beverages_tobacco;Beaucoup de choix, accueil sympathique.;beaucoup choix accueil sympathique;1;0;1.0
Sophie B.;2;5.0;parfait;parfaitconseils adaptés aux gouts et budgets!;17 février 2021;www.comptoirdesvignes.fr;food_beverages_tobacco;parfaitconseils adaptés aux gouts et budgets!;parfaitconseils adaptés gouts budget !;1;0;1.0
CORTICCHIATO GISLAINE;1;5.0;disponibilité;disponibilité, conseil t choix;;www.comptoirdesvignes.fr;food_beverages_tobacco;disponibilité, conseil t choix;disponibilité conseil choix;1;0;1.0
Philippe;3;5.0;Conseils de qualité.;Conseils de qualité.Dégustation de whisky plaisante.Super accueil.;;www.comptoirdesvignes.fr;food_beverages_tobacco;Conseils de qualité.Dégustation de whisky plaisante.Super accueil.;conseils qualité dégustation whisky plaisante super accueil;1;0;1.0
DUBUC JEAN JACQUES;1;5.0;J ai trouvé ce que je voulais;J ai trouvé ce que je voulais Accueil sympathique;;www.comptoirdesvignes.fr;food_beverages_tobacco;J ai trouvé ce que je voulais Accueil sympathique;trouvé voulais accueil sympathique;1;0;1.0
Marianne;1;5.0;Très bon accueil;Très bon accueil, merci 😃;;www.comptoirdesvignes.fr;food_beverages_tobacco;Très bon accueil, merci 😃;très bon accueil 😃;2;0;0.856
BLARD Vincent;1;4.0;Un accueil toujours sympathique;Un accueil toujours sympathique, et des conseils toujours pertinents....;;www.comptoirdesvignes.fr;food_beverages_tobacco;Un accueil toujours sympathique, et des conseils toujours pertinents....;accueil sympathique conseils pertinents;1;0;1.0
CATRY;1;5.0;trop sympa;trop sympadélicieux;;www.comptoirdesvignes.fr;food_beverages_tobacco;trop sympadélicieux;trop sympadélicieux;1;0;1.0
VLFONE;2;5.0;Super;Super. Pro. Rien à redire !;;www.comptoirdesvignes.fr;food_beverages_tobacco;Super. Pro. Rien à redire !;super pro rien redire !;1;0;1.0
Victoriano FERNANDEZ;2;5.0;Très non contacte une grande…;Très non contacte une grande connaissance de vos produit.Merci pour ses conseil;;www.comptoirdesvignes.fr;food_beverages_tobacco;Très non contacte une grande connaissance de vos produit.Merci pour ses conseil;très non contacte grande connaissance produit conseil;1;0;1.0
Grégory;3;5.0;Livraison rapide et conforme....Parfait…;Livraison rapide et conforme....Parfait !!;;monwhisky.fr;food_beverages_tobacco;Livraison rapide et conforme....Parfait !!;livraison rapide conforme parfait ! !;1;0;1.0
Jean MASSOT;1;5.0;conforme au produits commandés;conforme au produits commandés, livrés en temps et en heure;;monwhisky.fr;food_beverages_tobacco;conforme au produits commandés, livrés en temps et en heure;conforme produits commandés livrés temps heure;1;0;1.0
Pierre-Emmanuel Colle;9;5.0;Service impeccable et très rapide !;Service impeccable et très rapide !La commande est arrivée deux jours après.;;monwhisky.fr;food_beverages_tobacco;Service impeccable et très rapide !La commande est arrivée deux jours après.;service impeccable très rapide ! commande arrivée jours;1;0;1.0
nico;3;5.0;très bien;très bien merci;;monwhisky.fr;food_beverages_tobacco;très bien merci;très bien;2;0;0.81
BRIGITTE;2;3.0;Beaucoup de ruptures de stock à voir…;Beaucoup de ruptures de stock à voir pour la prochaine foisPar contre livraison rapide;;monwhisky.fr;food_beverages_tobacco;Beaucoup de ruptures de stock à voir pour la prochaine foisPar contre livraison rapide;beaucoup rupture stock voir prochaine foispar contre livraison rapide;1;0;1.0
Philippe M;1;5.0;très bien;conforme à la commande, livré rapidement;;monwhisky.fr;food_beverages_tobacco;conforme à la commande, livré rapidement;conforme commande livré rapidement;1;0;1.0
Jérôme;1;5.0;Parfait;Parfait, envoi bien protégé;;monwhisky.fr;food_beverages_tobacco;Parfait, envoi bien protégé;parfait envoi bien protégé;2;0;0.848
Sébastien Gruhier;4;5.0;Excellent service;Envoi rapide.;;monwhisky.fr;food_beverages_tobacco;Envoi rapide.;envoi rapide;1;0;1.0
Thierry H;1;5.0;Epédition rapide;Epédition rapide, produit correctement emballé...RAS;;monwhisky.fr;food_beverages_tobacco;Epédition rapide, produit correctement emballé...RAS;epédition rapide produit correctement emballé ras;1;0;1.0
FA;1;5.0;Très sympa;Très sympa, possibilité d'une livraison du jour au lendemain;;monwhisky.fr;food_beverages_tobacco;Très sympa, possibilité d'une livraison du jour au lendemain;très sympa possibilité livraison jour lendemain;1;0;1.0
Alexis Bablon;4;5.0;Choisir son vieux rhum;Les fiches produits sont complètes et justes (Après dégustation ...);;monwhisky.fr;food_beverages_tobacco;Les fiches produits sont complètes et justes (Après dégustation ...);fiches produits complètes justes ( dégustation );1;0;1.0
MrT;3;4.0;Parfait;Parfait bon site;;monwhisky.fr;food_beverages_tobacco;Parfait bon site;parfait bon site;2;0;0.804
PATIN Virginie;2;3.0;La livraison était prévue entre 24 et…;La livraison était prévue entre 24 et 72h. Elle a eu lieu 6 jours plus tard.;;monwhisky.fr;food_beverages_tobacco;La livraison était prévue entre 24 et 72h. Elle a eu lieu 6 jours plus tard.;livraison prévue 24 72h lieu 6 jours tard;1;0;1.0
JEAN-CLAUDE M;2;5.0;tout c'est passé correctement;tout c'est passé correctement, envoi rapide;;monwhisky.fr;food_beverages_tobacco;tout c'est passé correctement, envoi rapide;passé correctement envoi rapide;1;0;1.0
Gregory 92;3;5.0;Reçu avec une excellente protection et…;Reçu avec une excellente protection et rapidement, à goûter pour vérifier la qualité du produit désormais.;;monwhisky.fr;food_beverages_tobacco;Reçu avec une excellente protection et rapidement, à goûter pour vérifier la qualité du produit désormais.;reçu excellente protection rapidement goûter vérifier qualité produit;1;0;1.0
Guillaume;3;5.0;Commande rapidement expédiée;Commande rapidement expédiée, correspond à ce que je recherchais;;monwhisky.fr;food_beverages_tobacco;Commande rapidement expédiée, correspond à ce que je recherchais;commande rapidement expédiée correspond recherchais;1;0;1.0
Boris CHADOURNE;1;5.0;Rien à dire très pro et très rapide !;Rien à dire très pro et très rapide !! Commande passée le jeudi matin et reçue le vendredi midi!Allez-y les yeux fermés;;monwhisky.fr;food_beverages_tobacco;Rien à dire très pro et très rapide !! Commande passée le jeudi matin et reçue le vendredi midi!Allez-y les yeux fermés;rien très pro très rapide ! ! commande passée jeudi matin reçue vendredi midi ! allez-y yeux fermés;1;0;1.0
atilio francois;2;5.0;Rien à dire;Rien à dire: ce qui est dit est fait, que demander de plus?;;monwhisky.fr;food_beverages_tobacco;Rien à dire: ce qui est dit est fait, que demander de plus?;rien : demander ?;1;0;1.0
Raymond Lescopt;8;5.0;toujours autan de choix;toujours autan de choix, site impeccable et réactif.super.;;monwhisky.fr;food_beverages_tobacco;toujours autan de choix, site impeccable et réactif.super.;autan choix site impeccable réactif super;1;0;1.0
Jeremy Boudelle;1;5.0;Sérieux;Sérieux, rapide, emballage de qualité.. vous pouvez y aller les yeux fermés..;;monwhisky.fr;food_beverages_tobacco;Sérieux, rapide, emballage de qualité.. vous pouvez y aller les yeux fermés..;sérieux rapide emballage qualité pouvez all yeux fermés;1;0;0.909
Luc Heinen;2;5.0;Très content du service à tous points…;Très content du service à tous points de vue;;monwhisky.fr;food_beverages_tobacco;Très content du service à tous points de vue;très content service point vue;1;0;1.0
emmanuel blais;1;5.0;Rien a dire sinon que le service…;Rien a dire sinon que le service sérieux et très rapide.;10 mars 2021;cafesbelleville.com;food_beverages_tobacco;Rien a dire sinon que le service sérieux et très rapide.;rien service sérieux très rapide;1;0;0.901
Emmanuel;3;3.0;Café La Pantoufle..Restez au lit;Café La Pantoufle... pantouflard en effet. Ça ronronne d’ennui.Livraison hyper rapide ( quelques heures).;13 février 2021;cafesbelleville.com;food_beverages_tobacco;Café La Pantoufle... pantouflard en effet. Ça ronronne d’ennui.Livraison hyper rapide ( quelques heures).;café pantoufle pantouflard ronronne ennui livraison hyper rapide ( heures );1;0;1.0
Carole P;2;5.0;Livraison rapide.;Livraison rapide.Produits de qualité.Excellent service.;12 février 2021;cafesbelleville.com;food_beverages_tobacco;Livraison rapide.Produits de qualité.Excellent service.;livraison rapide produits qualité excellent service;1;0;1.0
Didier Rives;4;5.0;Toujours aussi sympa et pro;Toujours aussi sympa et pro ! 👍🏻😉;;cafesbelleville.com;food_beverages_tobacco;Toujours aussi sympa et pro ! 👍🏻😉;sympa pro ! 👍🏻😉;1;0;1.0
Siméon BLOCH;1;5.0;Produits d'excellente qualité et…;Produits d'excellente qualité et livraison le jour même;;cafesbelleville.com;food_beverages_tobacco;Produits d'excellente qualité et livraison le jour même;produits excellente qualité livraison jour;1;0;1.0
Fanny Louvel;1;5.0;Livraison super rapide et personnel…;Livraison super rapide et personnel très sympathique;;cafesbelleville.com;food_beverages_tobacco;Livraison super rapide et personnel très sympathique;livraison super rapide personnel très sympathique;1;0;1.0
CYP;1;5.0;Livraison très rapide et dans le…;Livraison très rapide et dans le créneau horaire prévu;;cafesbelleville.com;food_beverages_tobacco;Livraison très rapide et dans le créneau horaire prévu;livraison très rapide créneau horaire prévu;1;0;1.0
Jennifer Martin;1;5.0;Conseil et service au top!;Conseil et service au top!Merci à Ludo;;cafesbelleville.com;food_beverages_tobacco;Conseil et service au top!Merci à Ludo;conseil service top ! ludo;1;0;1.0
Kevin P;1;5.0;Ateliers & boutique géniaux;Produits de qualité, conseil, disponibilité. Rien à redire;;cafesbelleville.com;food_beverages_tobacco;Produits de qualité, conseil, disponibilité. Rien à redire;produits qualité conseil disponibilité rien redire;1;0;1.0
Antoine Hekimian;4;5.0;Endroit incontournable pour les…;Endroit incontournable pour les amateurs de café!;;cafesbelleville.com;food_beverages_tobacco;Endroit incontournable pour les amateurs de café!;endroit incontournable amateurs café !;1;0;1.0
KAISER;4;5.0;La qualité du café est toujours au plus…;La qualité du café est toujours au plus haut niveau et le service en magasin trop sympa.;;cafesbelleville.com;food_beverages_tobacco;La qualité du café est toujours au plus haut niveau et le service en magasin trop sympa.;qualité café haut niveau service magasin trop sympa;1;0;1.0
Le Maitre;4;5.0;Café de qualité;Café de qualité, livraison rapide !;;cafesbelleville.com;food_beverages_tobacco;Café de qualité, livraison rapide !;café qualité livraison rapide !;1;0;1.0
Stéphanie Michel;1;5.0;Exceptionnel !;Service exceptionnel pour des produits de grande qualité !;;cafesbelleville.com;food_beverages_tobacco;Service exceptionnel pour des produits de grande qualité !;service exceptionnel produits grande qualité !;1;0;1.0
loic landrieu;1;5.0;Super café;Super café, livraison rapide;;cafesbelleville.com;food_beverages_tobacco;Super café, livraison rapide;super café livraison rapide;1;0;1.0
MC;3;5.0;Parfait à tous points de vue;Produits de qualité Conseils téléphoniques pertinents Livraison très rapide comme toujours;3 mars 2021;spiruline-des-iles-dor.com;food_beverages_tobacco;Produits de qualité Conseils téléphoniques pertinents Livraison très rapide comme toujours;produits qualité conseils téléphoniques pertinents livraison très rapide;1;0;1.0
Michel Sroussi;3;5.0;Produit conforme;Produit conforme , livraison rapide ...r.a.s;7 mars 2021;spiruline-des-iles-dor.com;food_beverages_tobacco;Produit conforme , livraison rapide ...r.a.s;produit conforme livraison rapide r;1;0;1.0
Patrick Yossef;3;5.0;Spiruline de qualité;Spiruline de haute qualité;6 mars 2021;spiruline-des-iles-dor.com;food_beverages_tobacco;Spiruline de haute qualité;spiruline haute qualité;1;0;1.0
Sasa;1;3.0;Livraison rapide;Livraison rapide. Pas satisfaite de la quantité j’ai commandé 300g en paillettes pour 3 mois d’utilisation en respectant la quantité journalière je suis déjà à la moitié du pot, ca fais à peine 1 mois que je l’utilise.;;spiruline-des-iles-dor.com;food_beverages_tobacco;Livraison rapide. Pas satisfaite de la quantité j’ai commandé 300g en paillettes pour 3 mois d’utilisation en respectant la quantité journalière je suis déjà à la moitié du pot, ca fais à peine 1 mois que je l’utilise.;livraison rapide satisfaite quantité commandé 300g paillettes 3 mois utilisation respectant quantité journalière déjà moitié pot ca peine 1 mois utilise;1;0;0.824
ISABELLE RICCI;1;5.0;Super complément alimentaire;Super complément alimentaire que je prends depuis au moins 5 ans;;spiruline-des-iles-dor.com;food_beverages_tobacco;Super complément alimentaire que je prends depuis au moins 5 ans;super complément alimentaire prends 5 ans;1;0;1.0
sandrine Arnaudo;1;5.0;Spiruline de qualité;Spiruline de qualité Envoie très rapide;;spiruline-des-iles-dor.com;food_beverages_tobacco;Spiruline de qualité Envoie très rapide;spiruline qualité envoie très rapide;1;0;1.0
Sabine DEMOULIN;2;5.0;Livraison rapide;Livraison rapide. Produit de qualité. Rien à redire !;;spiruline-des-iles-dor.com;food_beverages_tobacco;Livraison rapide. Produit de qualité. Rien à redire !;livraison rapide produit qualité rien redire !;1;0;1.0
CELINE GLEIZON;1;5.0;C est la 3ème commande que je passe…;C est la 3ème commande que je passe chez Spirulines dès îles d'or. Rapidité d'expédition. Emballage de qualité et spiruline de qualité.;;spiruline-des-iles-dor.com;food_beverages_tobacco;C est la 3ème commande que je passe chez Spirulines dès îles d'or. Rapidité d'expédition. Emballage de qualité et spiruline de qualité.;3ème commande passe spirulines îles or rapidité expédition emballage qualité spiruline qualité;1;0;1.0
Michaël Tinello;1;5.0;Super!;Super produit et super service client!;;spiruline-des-iles-dor.com;food_beverages_tobacco;Super produit et super service client!;super produit super service client !;1;0;1.0
Maria Crespo;1;5.0;Toujours excellentes;Toujours excellentes! Qualité du produit et livraison.;;spiruline-des-iles-dor.com;food_beverages_tobacco;Toujours excellentes! Qualité du produit et livraison.;excellentes ! qualité produit livraison;1;0;1.0
Marie-noelle BOURSAT;1;5.0;En tant que sportive;En tant que sportive, je trouve que la spiruline chaque matin m'apporte énergie et tonus.;;spiruline-des-iles-dor.com;food_beverages_tobacco;En tant que sportive, je trouve que la spiruline chaque matin m'apporte énergie et tonus.;sportive trouve spiruline matin apporte énergie tonus;1;0;1.0
Latina;2;5.0;des effets possitifs;Des effets possitifs après quelques jours, beaucoup plus d'energie.;;spiruline-des-iles-dor.com;food_beverages_tobacco;Des effets possitifs après quelques jours, beaucoup plus d'energie.;effets possitifs jours beaucoup energie;1;0;1.0
M. BECHARD Claude;8;5.0;Sitôt commandé;Sitôt commandé, sitôt reçu !Ne changez rien...;;spiruline-des-iles-dor.com;food_beverages_tobacco;Sitôt commandé, sitôt reçu !Ne changez rien...;sitôt commandé sitôt reçu ! changez rien;1;0;1.0
Aurélien DE BIASI;2;5.0;Service rapide et produit de grande…;Service rapide et produit de grande qualité;;spiruline-des-iles-dor.com;food_beverages_tobacco;Service rapide et produit de grande qualité;service rapide produit grande qualité;1;0;1.0
Philippe Lenoir;2;5.0;Entreprise sérieuse délai court rien à…;Entreprise sérieuse délai court rien à dire;;spiruline-des-iles-dor.com;food_beverages_tobacco;Entreprise sérieuse délai court rien à dire;entreprise sérieuse délai court rien;1;0;0.845
Marie DELAGOUTTE;3;5.0;La spiruline est excellente et avec ma…;La spiruline est excellente et avec ma chienne nous en consommons tous les jours.;;spiruline-des-iles-dor.com;food_beverages_tobacco;La spiruline est excellente et avec ma chienne nous en consommons tous les jours.;spiruline excellente chienne consommons jours;1;0;1.0
AB;1;5.0;Nickel;Service rapide et de qualité;;spiruline-des-iles-dor.com;food_beverages_tobacco;Service rapide et de qualité;service rapide qualité;1;0;1.0
Jean-Yves;2;5.0;simplicité de commande et rapidité de…;simplicité de commande et rapidité de livraison.Rien à redire.;;spiruline-des-iles-dor.com;food_beverages_tobacco;simplicité de commande et rapidité de livraison.Rien à redire.;simplicité commande rapidité livraison rien redire;1;0;1.0
Martine (04);4;5.0;Produit de qualité et livraison rapide…;Produit de qualité et livraison rapide (spiruline en paillettes);;spiruline-des-iles-dor.com;food_beverages_tobacco;Produit de qualité et livraison rapide (spiruline en paillettes);produit qualité livraison rapide ( spiruline paillettes );1;0;1.0
PIERRE PINTO;3;5.0;Toujours la qualité de produit et…;Toujours la qualité de produit et service;;spiruline-des-iles-dor.com;food_beverages_tobacco;Toujours la qualité de produit et service;qualité produit service;1;0;1.0
Cédric LASSERRE;5;5.0;Livraison rapide;Livraison rapideProduit semble être de qualité, à voir avec le tempsMerci;;spiruline-des-iles-dor.com;food_beverages_tobacco;Livraison rapideProduit semble être de qualité, à voir avec le tempsMerci;livraison rapideproduit qualité voir tempsmerci;1;0;1.0
Alice OLLAGNON;2;5.0;Satisfaite;Plusieures commandes traitées rapidement et produit de qualité (spiruline en poudre ou paillettes);;spiruline-des-iles-dor.com;food_beverages_tobacco;Plusieures commandes traitées rapidement et produit de qualité (spiruline en poudre ou paillettes);plusieures command traitées rapidement produit qualité ( spiruline poudre paillettes );1;0;1.0
Laetitia Sanys;2;5.0;parfait;parfait. Bon produit.;;spiruline-des-iles-dor.com;food_beverages_tobacco;parfait. Bon produit.;parfait bon produit;2;0;0.804
Régine;1;5.0;Parfait;Envoi très rapideProduit d'excellente qualité;;spiruline-des-iles-dor.com;food_beverages_tobacco;Envoi très rapideProduit d'excellente qualité;envoi très rapideproduit excellente qualité;1;0;1.0
philippe cortese;1;5.0;Qualité produits;Qualité produitsSuivi clients.Livraison rapide.Cheques resto acceptes.Bref....le top.Merci.;;spiruline-des-iles-dor.com;food_beverages_tobacco;Qualité produitsSuivi clients.Livraison rapide.Cheques resto acceptes.Bref....le top.Merci.;qualité produitssuivi clients livraison rapide cheque resto accept bref top;1;0;1.0
Manue;1;5.0;super produit;c'est un produit de qualité et la livraison est rapide.;;spiruline-des-iles-dor.com;food_beverages_tobacco;c'est un produit de qualité et la livraison est rapide.;produit qualité livraison rapide;1;0;1.0
Lea freddi;1;5.0;Super;Super ! Produit de qualité et livraison rapide;;spiruline-des-iles-dor.com;food_beverages_tobacco;Super ! Produit de qualité et livraison rapide;super ! produit qualité livraison rapide;1;0;1.0
Adeline;9;5.0;Je recommande;"livraison rapide malgré la période; produits de qualité";;spiruline-des-iles-dor.com;food_beverages_tobacco;"livraison rapide malgré la période; produits de qualité";"livraison rapide malgré période ; produits qualité";1;0;1.0
vtt mardié;6;4.0;Impeccable;Impeccable, conforme à mes attentes et livraison express;;spiruline-des-iles-dor.com;food_beverages_tobacco;Impeccable, conforme à mes attentes et livraison express;impeccable conforme attentes livraison express;1;0;1.0
fanny toussaint;1;5.0;J été un peu sceptique au départ pour…;J été un peu sceptique au départ pour avaler la poudre mais je la mélange avec un yaourt ou de la compote et le tour est joué...reste.a voir par la suite si cela m apportera un regain d énergie.Colis Reçu rapidement,;;spiruline-des-iles-dor.com;food_beverages_tobacco;J été un peu sceptique au départ pour avaler la poudre mais je la mélange avec un yaourt ou de la compote et le tour est joué...reste.a voir par la suite si cela m apportera un regain d énergie.Colis Reçu rapidement,;sceptique départ avaler poudre mélange yaourt compote tour joué voir suite apportera regain énergie colis reçu rapidement;1;0;0.975
hervé guillen;3;4.0;Livraison rapide mais beaucoup de…;Livraison rapide mais beaucoup de polystyrène dans le carton, pas très écolo...;;demainlesvins.com;food_beverages_tobacco;Livraison rapide mais beaucoup de polystyrène dans le carton, pas très écolo...;livraison rapide beaucoup polystyrène carton très écolo;1;0;1.0
BB;1;5.0;Super;Eblouissant !;;demainlesvins.com;food_beverages_tobacco;Eblouissant !;eblouissant !;1;0;1.0
"Jean ;";1;5.0;Parfait;Livraison précise et dans d'excellentes conditions;;demainlesvins.com;food_beverages_tobacco;Livraison précise et dans d'excellentes conditions;livraison précise excellentes condition;1;0;1.0
Pierre MONDESERT;4;5.0;Mais ce n’est pas pour autant une…;Mais ce n’est pas pour autant une adhésion au parti polique italien !;;demainlesvins.com;food_beverages_tobacco;Mais ce n’est pas pour autant une adhésion au parti polique italien !;autant adhésion parti polique italien !;1;0;1.0
"Claude Simon;";1;5.0;Parfait;Parfait. Parfait.;;demainlesvins.com;food_beverages_tobacco;Parfait. Parfait.;parfait parfait;2;0;1.0
"Fabrice Pouillon;";2;5.0;Top !;Expédition rapide et conforme.;;demainlesvins.com;food_beverages_tobacco;Expédition rapide et conforme.;expédition rapide conforme;1;0;1.0
"Christian RAUDIER;";1;4.0;Bordeaux;Pas assez de propositions sur les vins de Bordeaux;;demainlesvins.com;food_beverages_tobacco;Pas assez de propositions sur les vins de Bordeaux;proposition vins bordeaux;1;0;0.876
Phil;1;5.0;Livraison cornas Guillaume Gilles;Rien à redire. Tout est OK.;;demainlesvins.com;food_beverages_tobacco;Rien à redire. Tout est OK.;rien redire ok;1;0;1.0
"CLUB ""LES CHEVALIERS DE BACCHUS"".";5;5.0;PARFAIT !!!!!!!!!!!!!!!!!;LIVRAISON RAPIDE.;;demainlesvins.com;food_beverages_tobacco;LIVRAISON RAPIDE.;livraison rapide;1;0;1.0
Jean-pascal;1;5.0;Parfait : rapide et bien!!;Livraison rapide.2 jours après achat;;demainlesvins.com;food_beverages_tobacco;Livraison rapide.2 jours après achat;livraison rapide 2 jours achat;1;0;1.0
"Jacques Chauve;";3;5.0;Efficacité réactivité fiabilite;Rien de plus !!;;demainlesvins.com;food_beverages_tobacco;Rien de plus !!;rien ! !;1;0;1.0
"Fabrice ZANGA;";1;5.0;Parfait!;Aucun soucis. Livraison rapide et emballage impeccable;;demainlesvins.com;food_beverages_tobacco;Aucun soucis. Livraison rapide et emballage impeccable;soucis livraison rapide emballage impeccable;1;0;1.0
murielle;6;5.0;parfait..;de la commande à la livraison tout est maitrisé;;demainlesvins.com;food_beverages_tobacco;de la commande à la livraison tout est maitrisé;commande livraison maitrisé;1;0;1.0
GH;1;5.0;aucun problème lors de la livraison;reste à goûter le vin.;;demainlesvins.com;food_beverages_tobacco;reste à goûter le vin.;goûter vin;1;0;1.0
Xavier;2;5.0;Au top, excellente sélection de vins et service premium.;Excellente sélection de vins et service premium.;;demainlesvins.com;food_beverages_tobacco;Excellente sélection de vins et service premium.;excellente sélection vins service premium;1;0;1.0
FABRICE;29;5.0;IMPEC;Rien à redire;;demainlesvins.com;food_beverages_tobacco;Rien à redire;rien redire;1;0;1.0
Monsieur MILLET;6;5.0;correct !;Commande rapide et en relais colis pour simplifier.;;demainlesvins.com;food_beverages_tobacco;Commande rapide et en relais colis pour simplifier.;commande rapide relais colis simplifier;1;0;1.0
Cedric L.;2;5.0;Une commande sans accrocs;Rien à reprocher;;demainlesvins.com;food_beverages_tobacco;Rien à reprocher;rien reprocher;1;0;1.0
Mich;1;5.0;Parfait;Transport rapide, bouteille conforme et excellente!nous recommanderons prochainement.Merci;;au-droit-de-bouchon.com;food_beverages_tobacco;Transport rapide, bouteille conforme et excellente!nous recommanderons prochainement.Merci;transport rapide bouteille conforme excellente ! recommanderons prochainement;1;0;1.0
gravet nicolas;2;5.0;super;super super super;;au-droit-de-bouchon.com;food_beverages_tobacco;super super super;super super super;1;0;1.0
R. Bongaerts;2;5.0;Parfait;Parfait, merci.;;au-droit-de-bouchon.com;food_beverages_tobacco;Parfait, merci.;parfait;2;0;1.0
Caroline Maziere;1;5.0;la bouteille etait sublime;la bouteille etait sublimechâteau figeac 1971;;au-droit-de-bouchon.com;food_beverages_tobacco;la bouteille etait sublimechâteau figeac 1971;bouteille sublimechâteau figeac 1971;1;0;1.0
Alexis;10;5.0;Comme d'habitude;Comme d'habitude, impeccable...;;au-droit-de-bouchon.com;food_beverages_tobacco;Comme d'habitude, impeccable...;habitude impeccable;1;0;1.0
Tristan Bergere;4;5.0;livraison très rapide;livraison très rapide. a+++++;;au-droit-de-bouchon.com;food_beverages_tobacco;livraison très rapide. a+++++;livraison très rapide a+++++;1;0;1.0
Paul;1;5.0;Livraison rapide et bouteille conforme;Livraison rapide et bouteille conforme a la vente. Plus qu'a déguster ce Chateau Chalon de 61;;au-droit-de-bouchon.com;food_beverages_tobacco;Livraison rapide et bouteille conforme a la vente. Plus qu'a déguster ce Chateau Chalon de 61;livraison rapide bouteille conforme vente déguster chateau chalon 61;1;0;1.0
François D.;1;4.0;R.A.S.;Rien à signaler.;;au-droit-de-bouchon.com;food_beverages_tobacco;Rien à signaler.;rien signaler;1;0;1.0
Nicola Milazzo;1;4.0;Service excellent;Service excellent Merci;;au-droit-de-bouchon.com;food_beverages_tobacco;Service excellent Merci;service excellent;2;0;0.861
MPG;1;5.0;Expédition très rapide / emballage…;Expédition très rapide / emballage nickel;;au-droit-de-bouchon.com;food_beverages_tobacco;Expédition très rapide / emballage nickel;expédition très rapide / emballage nickel;1;0;1.0
