;name;link;stars;review_count;category;type;location;logo;url;phone;stars_average;mail;name_clean
10;Rhum Attitude;www.rhumattitude.com;4.8;4514.0;Aliments, boissons & tabac;LocalBusiness;10, rue de Penthièvre Paris 75008 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshots/570227c60000ff00058b0602/198x149.png;http://www.rhumattitude.com;01 75 51 46 19;4.8;contact@rhumattitude.com;rhum attitude
11;Vert Tiges;vert-tiges.com;4.8;4293.0;Aliments, boissons & tabac;LocalBusiness;910 route de Valmont Fécamp 76400 ;https://s3-eu-west-1.amazonaws.com/tpd/screenshots/56b0bec30000ff000588679e/198x149.png;http://vert-tiges.com;235274182;4.8;contact@vert-tiges.com;vert tiges
12;La Fourche;lafourche.fr;4.8;3364.0;Aliments, boissons & tabac;LocalBusiness;60 Avenue Lucie Aubrac Livry-Gargan 93190 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5b0ebb6897ae1c0001e39a75/198x149.png;http://www.lafourche.fr;Inconnu;4.8;contact@lafourche.fr;la fourche
13;Oliquide;www.oliquide.com;4.8;2767.0;Aliments, boissons & tabac;LocalBusiness;22 Avenue Maréchal Foch Toul 54200 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshots/5cc31712052af100019aa1ef/198x149.png;http://www.oliquide.com;03.83.64.23.38;4.8;contact@oliquide.com;oliquide
14;Nutri Naturel;nutri-naturel.com;4.8;2010.0;Aliments, boissons & tabac;LocalBusiness;17 rue des aciéries Saint-Juéry 81160 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5935b3e80000ff0005a3eef0/198x149.png;https://www.nutri-naturel.com/;581406115;4.8;contact@nutri-naturel.com;nutri naturel
15;Le Petit Ballon;lepetitballon.com;4.8;1641.0;Aliments, boissons & tabac;LocalBusiness;43 rue du rocher Paris 75008 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/4f59bb2f0000640005137fc9/198x149.png;http://www.lepetitballon.com;Inconnu;4.8;bonjour@lepetitballon.com;le petit ballon
16;Café en grain;cafe-en-grain.com;4.8;1309.0;Aliments, boissons & tabac;LocalBusiness;910 route de Valmont Fécamp 76400 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/501b25f20000640005190a04/198x149.png;http://cafe-en-grain.com;235274182;4.8;contact@vert-tiges.com;cafe en grain
17;Lu Shan - Art du Thé;boutique.lushan.fr;4.8;942.0;Aliments, boissons & tabac;LocalBusiness;100 Place Saint Léger Chambéry 73000 ;https://s3-eu-west-1.amazonaws.com/tpd/screenshots/553fb4380000ff00057f10e7/198x149.png;https://boutique.lushan.fr;479750236;4.8;support@lushan.fr;lu shan  art du the
18;Pêché Maison;www.peche-maison.fr;4.8;866.0;Aliments, boissons & tabac;LocalBusiness;Saint-Gilles Croix de Vie 85800 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5d7243a99c856c00019e1978/198x149.png;http://www.peche-maison.fr;Inconnu;4.8;hello@peche-maison.fr;peche maison
19;VDLV e-shop;www.vincentdanslesvapes.fr;4.8;667.0;Aliments, boissons & tabac;LocalBusiness;2 Chemin des Arestieux Cestas 33610 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/54b66d780000ff00057cb97c/198x149.png;http://www.vincentdanslesvapes.fr;556101616;4.8;contact@vincentdanslesvapes.fr;vdlv eshop
20;CBD Toulouse;cbdtoulouse.fr;4.8;659.0;Aliments, boissons & tabac;LocalBusiness;rue matabiau Toulouse 31000 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5d5b9e6dc5d6e00001c0c962/198x149.png;http://cbdtoulouse.fr;627885159;4.8;cbdtoulouse@gmail.com;cbd toulouse
21;Oé;oeforgood.com;4.8;629.0;Aliments, boissons & tabac;LocalBusiness;Lyon FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5699fdfb0000ff000587ad2b/198x149.png;https://oeforgood.com;04 74 26 92 16;4.8;hello@oeforgood.com;oe
22;Lomi;lomi.coffee;4.8;253.0;Aliments, boissons & tabac;LocalBusiness;3 ter rue Marcadet Paris 75018 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5ec8010d8245bb00011ea104/198x149.png;http://lomi.paris;09 51 27 46 31;4.8;Inconnu;lomi
23;VignArtea;vignartea.fr;4.8;248.0;Aliments, boissons & tabac;LocalBusiness;1243 Chemin d'Halkeia Itxassou 64250 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5693b6e40000ff0005877904/198x149.png;https://vignartea.fr;+33 (0)5.59.44.13.40;4.8;Inconnu;vignartea
24;Malindo;malindo.fr;4.8;240.0;Aliments, boissons & tabac;LocalBusiness;Lattes FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshots/580e0b790000ff0005967b5c/198x149.png;http://www.malindo.fr;Inconnu;4.8;contact@malindo.fr;malindo
25;e-winery;e-winery.fr;4.8;159.0;Aliments, boissons & tabac;LocalBusiness;Inconnu;https://s3-eu-west-1.amazonaws.com/tpd/screenshots/4f7201f2000064000513f75b/198x149.png;http://e-winery.fr;Inconnu;4.8;Inconnu;ewinery
26;Champagne Terroir;champagne-terroir.fr;4.8;140.0;Aliments, boissons & tabac;LocalBusiness;FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshots/5e861d48f308870001350116/198x149.png;http://champagne-terroir.fr;Inconnu;4.8;Inconnu;champagne terroir
27;Dock des Epices;dockdesepices.com;4.8;139.0;Aliments, boissons & tabac;LocalBusiness;Rue Saint-James 20 Bordeaux 33000 FR;Inconnu;http://dockdesepices.com;33556444157;4.8;contact@dockdesepices.com;dock des epices
28;Hayuco Coffee Roasters ;hayuco.coffee;4.8;124.0;Aliments, boissons & tabac;LocalBusiness;197 Avenue de Fronton Toulouse 31200 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5dec00665ddcef0001607bb0/198x149.png;https://hayuco.coffee;Inconnu;4.8;shop@hayuco.coffee;hayuco coffee roasters 
29;Nordic Temptations;www.nordictemptations.com;4.8;117.0;Aliments, boissons & tabac;LocalBusiness;25 Rue Vauban Antibes 06600 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5b35f917e63eaf00017eb71b/198x149.png;http://www.nordictemptations.com;+33 489 02 72 60;4.8;nordictemptations@gmail.com;nordic temptations
30;La Couleur Du Vin;lacouleurduvin.fr;4.8;112.0;Aliments, boissons & tabac;LocalBusiness;FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5efae46331155b000144977d/198x149.png;http://lacouleurduvin.fr;Inconnu;4.8;Inconnu;la couleur du vin
31;LAFRENCHI;lafrenchi.fr;4.8;108.0;Aliments, boissons & tabac;LocalBusiness;FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5ebc012860cbf40001b7ef9a/198x149.png;https://www.lafrenchi.fr;Inconnu;4.8;toctoc@lafrenchi.fr;lafrenchi
32;Le Bon Gustave;lebongustave.com;4.8;92.0;Aliments, boissons & tabac;LocalBusiness;15 rue des Cuirassiers Lyon 69003 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5e1dd729d0bff50001d541a4/198x149.png;https://lebongustave.com;Inconnu;4.8;contact@lebongustave.fr;le bon gustave
33;Mon Plan CBD;monplancbd.fr;4.8;80.0;Aliments, boissons & tabac;LocalBusiness;FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5f5a56deb628e50001ee587f/198x149.png;https://www.monplancbd.fr;Inconnu;4.8;contact@monplancbd.fr;mon plan cbd
34;Zayti;lestresorsdumarocbyzayti.com;4.8;79.0;Aliments, boissons & tabac;LocalBusiness;Impasse de la beaupré vionville 57130 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5df8d2f348e2d50001a5eb3c/198x149.png;http://www.lestresorsdumarocbyzayti.com;33773325089;4.8;zayti@lestresorsdumarocbyzayti.com;zayti
35;e-vapopote.fr;e-vapopote.fr;4.8;70.0;Aliments, boissons & tabac;LocalBusiness;61,Chemin du Puyrousseau Perigueux 24000 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/562897f80000ff000584a0d9/198x149.png;http://e-vapopote.fr;+336 42 49 24 57;4.8;contact@e-vapopote.fr;evapopotefr
36;Le petit zeste;lepetitzeste.com;4.8;60.0;Aliments, boissons & tabac;LocalBusiness;177 bis avenue Louis Lumière LUNEL 34400 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5ffdb06aa3e4210001819a92/198x149.png;http://lepetitzeste.com;633832295;4.8;contact@lepetitzeste.com;le petit zeste
37;Nutrimuscle;nutrimuscle.com;4.7;9271.0;Aliments, boissons & tabac;LocalBusiness;FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/4d04fcb400006400050e40f4/198x149.png;https://www.nutrimuscle.com/;01 86 47 62 55;4.7;contact@nutrimuscle.com;nutrimuscle
38;Ecigplanete;ecigplanete.com;4.7;2362.0;Aliments, boissons & tabac;LocalBusiness;42 Route de St Symphorien d'Ozon Saint priest 69800 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/57b5ea250000ff000593a304/198x149.png;http://www.ecigplanete.com;04 74 71 77 98;4.7;contact@ecigplanete.com;ecigplanete
39;Vin Malin;www.vin-malin.fr;4.7;1785.0;Aliments, boissons & tabac;LocalBusiness;RD974 - Boite Postale 70003 MEURSAULT 21190 ;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/48e8f2ba000064000503bc4b/198x149.png;http://www.vin-malin.fr;03 80 21 92 99;4.7;Inconnu;vin malin
40;Site de Vente Directe des Vignerons Indépendants;www.vente-directe-vigneron-independant.com;4.7;1641.0;Aliments, boissons & tabac;LocalBusiness;FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/575b08fc0000ff00058ffed2/198x149.png;http://www.vente-directe-vigneron-independant.com;03 85 20 36 50;4.7;Inconnu;site de vente directe des vignerons independants
41;Fermedubio;fermedubio.com;4.7;1459.0;Aliments, boissons & tabac;LocalBusiness;Inconnu;https://s3-eu-west-1.amazonaws.com/tpd/screenshots/51f8cc1900006400056d654f/198x149.png;http://fermedubio.com;+33 (0)3 87 94 69 07.;4.7;Inconnu;fermedubio
42;Chacun Son Café;www.chacunsoncafe.fr;4.7;1351.0;Aliments, boissons & tabac;LocalBusiness;FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/496051b6000064000503fd87/198x149.png;http://www.chacunsoncafe.fr;141134567;4.7;serviceclient@chacunsoncafe.fr;chacun son cafe
43;Vintage and Co;vintageandco.com;4.7;982.0;Aliments, boissons & tabac;LocalBusiness;79, rue du Bac Paris 75007 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshots/4f0dbd5000006400051233f4/198x149.png;https://www.vintageandco.com;09 54 39 72 78;4.7;contact@vintageandco.com;vintage and co
44;Jean-merlaut.com;www.jean-merlaut.com;4.7;458.0;Aliments, boissons & tabac;LocalBusiness;45 Route de Dudon BAURECH 33880 ;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5832c1130000ff000597d61e/198x149.png;http://www.jean-merlaut.com;05 57 97 77 35;4.7;info@jean-merlaut.com;jeanmerlautcom
45;Crazy Cbd;crazy-cbd.com;4.7;445.0;Aliments, boissons & tabac;LocalBusiness;Vauvert 30600 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5ec9c527429273000147da4e/198x149.png;http://crazy-cbd.com;666162486;4.7;contact@crazy-cbd.com;crazy cbd
46;TWIL - The wine I love;twil.fr;4.7;376.0;Aliments, boissons & tabac;LocalBusiness;31 rue Nollet PARIS 75017 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/586a58930000ff00059a0fc8/198x149.png;https://www.twil.fr;01 41 66 47 88;4.7;contact@twil.fr;twil  the wine i love
47;Midi-Vin;midi-vin.com;4.7;253.0;Aliments, boissons & tabac;LocalBusiness;1348 Avenue Raymond Dugrand Montpellier 34000 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshots/4f1fb4e200006400051276e4/198x149.png;https://www.midi-vin.com/index.php?utm_source=trustpilot;+033(0)499642496;4.7;contact@midi-vin.com;midivin
48;Ookies;ookies.fr;4.7;241.0;Aliments, boissons & tabac;LocalBusiness;5 Rue des Tuilerie Bréal-sous-Montfort 35310 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5f241baf4a9622000148d76e/198x149.png;http://ookies.fr;02 99 23 41 21;4.7;contact@ookies.fr;ookies
49;Thanh Binh Jeune;www.thanh-binh.fr;4.7;157.0;Aliments, boissons & tabac;LocalBusiness;20 Avenue de Verdun Ivry-sur-Seine 94200 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5ac4b152970c640001c80bbb/198x149.png;http://www.thanh-binh.fr;146708999;4.7;info@thanh-binh.fr;thanh binh jeune
50;www.winerepublik.com;www.winerepublik.com;4.7;126.0;Aliments, boissons & tabac;LocalBusiness;56 rue du Fbg St Antoine PARIS 75012 ;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/543ba77e00006400057ae3c6/198x149.png;http://www.winerepublik.com;Inconnu;4.7;johnwine@winerepublik.com;wwwwinerepublikcom
51;Le Beau Thé, le sachet de thé personnalisé;www.lebeauthe.com;4.7;126.0;Aliments, boissons & tabac;LocalBusiness;1 centre commercial la tour, pépinière d'entreprises innovantes LA COURNEUVE 93120 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5fae7066a6911f000189ad23/198x149.png;http://www.lebeauthe.com;Inconnu;4.7;bonjour@lebeauthe.com;le beau the le sachet de the personnalise
52;Abacchus;abacchus.fr;4.7;106.0;Aliments, boissons & tabac;LocalBusiness;29 rue Joseph THierry Luynes 37230 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5e5d22d592ead400019e8249/198x149.png;https://shop.abacchus.fr;620137432;4.8;pascal@abacchus.com;abacchus
53;Very Thés;very-thes.com;4.7;105.0;Aliments, boissons & tabac;LocalBusiness;116 Moulin de Chatillonnet BOHAS 01250 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5c9269ea85bb990001f98f4f/198x149.png;https://www.very-thes.com;961611318;4.7;bonjour@very-thes.com;very thes
54;La Vinothèque du Léman;vinothequeduleman.fr;4.7;68.0;Aliments, boissons & tabac;LocalBusiness;ZA de la Poterie Ferney-Voltaire 01210 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5f6b5de903ce180001b45cf4/198x149.png;http://vinothequeduleman.fr;450407644;4.7;vinothequeduleman01@wanadoo.fr;la vinotheque du leman
55;Papabubble France;www.papabubble.fr;4.7;68.0;Aliments, boissons & tabac;LocalBusiness;36 Rue des Petits Champs Paris 75002 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5e5e19e757d9200001c063c8/198x149.png;http://www.papabubble.fr;09 83 08 79 16;4.7;contact@papabubble.fr;papabubble france
56;Divvino Paris;divvino.com;4.7;64.0;Aliments, boissons & tabac;LocalBusiness;16 rue Elzevir Paris 75003 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshots/5f219c8720b086000165fa57/198x149.png;http://divvino.com;330983742504;4.7;contact@divvino.com;divvino paris
57;Naturovape;naturovape.com;4.7;57.0;Aliments, boissons & tabac;LocalBusiness;3 rue de la lune Paris 75002 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5ea808ae77e51f0001761e0d/198x149.png;http://naturovape.com;09 87 33 20 29;4.7;contact@naturovape.com;naturovape
58;Strongcbd;strongcbd.fr;4.7;54.0;Aliments, boissons & tabac;LocalBusiness;Paris FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5fe4f0a462361c0001682bee/198x149.png;http://strongcbd.fr;Inconnu;4.7;contact@strongcbd.fr;strongcbd
59;Krupky;krupky.fr;4.7;48.0;Aliments, boissons & tabac;LocalBusiness;30 BIS RUE DECLOITRE BELLERIVE SUR ALLIER 03700 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5eb9d1416d4df5000151ef99/198x149.png;http://krupky.fr;953004912;4.7;contact@krupky.fr;krupky
60;VIA VINUM;via-vinum.com;4.7;47.0;Aliments, boissons & tabac;LocalBusiness;6 rue des Platanes SAINT-JULIEN BEYCHEVELLE 33250 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshots/510510cb0000640005216f8a/198x149.png;http://www.via-vinum.com;556596086;4.7;mathieu@via-vinum.com;via vinum
61;TyKemm;tykemm.bzh;4.7;43.0;Aliments, boissons & tabac;LocalBusiness;24 rue Gasté Brest 29200 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/597ede600000ff0005a7cb0a/198x149.png;http://tykemm.bzh;627955316;4.7;contact@tykemm.bzh;tykemm
62;CBDream;cbdream-bordeaux.fr;4.7;40.0;Aliments, boissons & tabac;LocalBusiness;Rue du Loup Bordeaux 33000 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5e970fbb900c3200010dc587/198x149.png;http://cbdream-bordeaux.fr;554786874;4.7;contact@cbdream-bordeaux.fr;cbdream
63;Ouliva;ouliva.fr;4.7;38.0;Aliments, boissons & tabac;LocalBusiness;FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5fb6746d51718c00017cb107/198x149.png;http://ouliva.fr;Inconnu;4.7;Inconnu;ouliva
64;1envie1vin;1envie1vin.com;4.7;36.0;Aliments, boissons & tabac;LocalBusiness;64 rue des Fourrières NEUVES-MAISONS 54230 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshots/5f3409493c1b4c000169eabf/198x149.png;http://1envie1vin.com;Inconnu;4.7;contact@1envie1vin.com;1envie1vin
65;Mamma gia;mammagia.com;4.7;36.0;Aliments, boissons & tabac;LocalBusiness;FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5f3cf8c7bb6c1300017d1d04/198x149.png;http://mammagia.com;Inconnu;4.7;contact@mammagia.com;mamma gia
66;Le Carré des Vins;lecarredesvins.com;4.7;35.0;Aliments, boissons & tabac;LocalBusiness;35 rue des Chantiers Versailles 78000 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshots/4f58a3e20000640005137a5d/198x149.png;http://www.lecarredesvins.com;06 85 66 48 79;4.7;contact@lecarredesvins.com;le carre des vins
67;Like Cigarette;like-cigarette.fr;4.7;35.0;Aliments, boissons & tabac;LocalBusiness;Inconnu;https://s3-eu-west-1.amazonaws.com/tpd/screenshots/50882a0d00006400051daf70/198x149.png;http://like-cigarette.fr;Inconnu;4.7;Inconnu;like cigarette
68;Les Pépites by Bordeaux Blends ;lespepitesbybb.com;4.7;24.0;Aliments, boissons & tabac;LocalBusiness;3 quai Hubert Prom Bordeaux 33300 FR;Inconnu;http://lespepitesbybb.com;557008707;4.7;client@lespepitesbybb.com ;les pepites by bordeaux blends 
69;Ventealapropriete.com;ventealapropriete.com;4.6;23355.0;Aliments, boissons & tabac;LocalBusiness;200 boulevard de la résistance - Bat MC2 Macon 71000 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/4f44bc7b0000640005130ef8/198x149.png;https://www.ventealapropriete.com/index.asp?tk=1767;03 85 20 97 30;4.6;contact@ventealapropriete.com;ventealaproprietecom
70;Aurore Market;auroremarket.fr;4.6;7542.0;Aliments, boissons & tabac;LocalBusiness;35 rue de la Gare Espalion 12500 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5c5daab4c7548e0001a876cc/198x149.png;http://auroremarket.fr?utm_campaign=home_page&utm_medium=info_company&utm_source=trustpilot;Inconnu;4.6;aide@auroremarket.fr;aurore market
71;Vinatis;www.vinatis.com;4.6;6599.0;Aliments, boissons & tabac;LocalBusiness;6 avenue du Pré de Challes - PAE des Glaisins Annecy-le-Vieux 74940 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshots/4bded277000064000506c0e4/198x149.png;http://www.vinatis.com;+33(0)4 50 09 09 09;4.6;sav@vinatis.com;vinatis
72;Vapoter;www.vapoter.fr;4.6;2988.0;Aliments, boissons & tabac;LocalBusiness;FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/569cd95b0000ff000587c243/198x149.png;https://www.vapoter.fr;01.64.80.54.57;4.6;serviceclient@vapoter.fr;vapoter
73;Cafebonmarche.fr;cafebonmarche.fr;4.6;1720.0;Aliments, boissons & tabac;LocalBusiness;Westerweiden 29 Ruinerwold 7961 EA NL;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/59c0c75d0000ff0005ab7fe8/198x149.png;http://cafebonmarche.fr;975187162;4.6;info@cafebonmarche.fr;cafebonmarchefr
74;Les Grappes;lesgrappes.com;4.6;574.0;Aliments, boissons & tabac;LocalBusiness;15 Rue du Sentier Paris 75002 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/568e2acb0000ff0005874bc6/198x149.png;http://www.lesgrappes.com;184175341;4.7;contact@lesgrappes.com;les grappes
75;amOseeds;amoseeds.com;4.6;501.0;Aliments, boissons & tabac;LocalBusiness;8 rue de madrid Belfort 90000 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5e21d4085543c10001927d44/198x149.png;http://amoseeds.com;339800033;4.6;contact@amoseeds.com;amoseeds
76;Fruits de la Terre;fruitsdelaterre.com;4.6;188.0;Aliments, boissons & tabac;LocalBusiness;64 Avenue du général Leclerc Loos 59120 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5e96ee9888fd3e0001eb9205/198x149.png;http://fruitsdelaterre.com;320920290;4.6;Contact@fruitsdelaterre.com;fruits de la terre
77;CAMUS COGNAC;camus.fr;4.6;139.0;Aliments, boissons & tabac;LocalBusiness;29 rue Marguerite de Navarre Cognac 16100 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5f4d14266365030001e3e261/198x149.png;https://camus.fr/;Inconnu;4.6;info@camus.fr;camus cognac
78;Chateau.com;chateau.com;4.6;116.0;Aliments, boissons & tabac;LocalBusiness;52 rue Clément Thomas Libourne 33500 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5ba4e9dfa4f3680001e40806/198x149.png;https://www.chateau.com/?utm_source=trustpilot&utm_medium=cnp;33954286436;4.6;contact@chateau.com;chateaucom
79;Foodspring;foodspring.fr;4.6;114.0;Aliments, boissons & tabac;LocalBusiness;Lobeckstraße 30-35 Berlin 10969 DE;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/59f1d39d0000ff0005aeb65c/198x149.png;http://foodspring.fr;+33 1 86 76 12 40;4.6;service@foodspring.fr;foodspring
80;Château de l'Aumérade;aumerade.com;4.6;101.0;Aliments, boissons & tabac;LocalBusiness;route de Puget-Ville PIERREFEU-DU-VAR 83390 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5d7fac310ceddc00019c61d1/198x149.png;http://www.aumeradeshop.com;04 94 28 20 31;4.6;boutique@aumerade.com;chateau de laumerade
81;Mes Voisins Producteurs;mesvoisinsproducteurs.com;4.6;93.0;Aliments, boissons & tabac;LocalBusiness;11, rue d'avesnes Lille 59000 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/601bb40d2ea4df0001d8b95b/198x149.png;https://mesvoisinsproducteurs.com;06 27 05 22 74;4.6;bonjour@mesvoisinsproducteurs.com;mes voisins producteurs
82;VIGNAPART;www.vignapart.com;4.6;84.0;Aliments, boissons & tabac;LocalBusiness;176 AV MARX DORMOY MONTROUGE 92120 FR;https://s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/568bfcfc0000ff0005873a69/198x149.png;https://www.vignapart.com/;01 87 42 12 04;4.6;contact@vignapart.com;vignapart
