name,link,stars,review_count,location,category
Astra Security,getastra.com,4.9,126,,electronics_technology
Flashbay,flashbay.fr,4.9,12911,,events_entertainment
NetJuggler,netjuggler.net,4.9,5871,28 Avenue du 10 Juin 1944 . 87520Oradour sur Glane,events_entertainment
Cadeaucity,www.cadeaucity.com,4.9,1134,1890 chemin Saint-Bernard . 06220Vallauris,events_entertainment
Oui Oui Bunny,ouiouibunny.fr,4.9,248,13006 . MARSEILLE,events_entertainment
Kyseii,kyseii.fr,4.9,204,,events_entertainment
Chanson Personnalisée,chansonpersonnalisee.com,4.9,191,,events_entertainment
Nos minis,nosminis.fr,4.9,150,68 rue notre dame . 33000Bordeaux,events_entertainment
A-qui-S.fr,www.a-qui-s.fr,4.8,109677,35 rue Pasteur . 64320Bizanos,events_entertainment
Gants-blancs.com,gants-blancs.com/fr,4.8,8474,Zone industr. Mira Barcos - 2 rue de Gayan . 65320BORDERES SUR L'ECHEZ,events_entertainment
Agorajeux,www.agorajeux.com,4.8,2262,23 rue du Vert Pré . 93460Gournay sur Marne,events_entertainment
CGB Numismatique Paris,cgb.fr,4.9,5224,"36, rue Vivienne . 75002PARIS",hobbies_crafts
Figurines Mania,figurines-mania.com,4.9,991,57 Avenue de l'Europe . 59223Roncq,hobbies_crafts
Michel musique,www.michelmusique.fr,4.9,917,19 boulevard Gambetta . 38000Grenoble,hobbies_crafts
L'heure Créative,www.lheurecreative.fr,4.9,562,180 chemin de Villeneuve . 18000Bourges,hobbies_crafts
MaMiniature,maminiature.fr,4.9,327,26120 . CHABEUIL,hobbies_crafts
Ardaya.fr,ardaya.fr,4.9,259,383 Avenue de l'Université Le Bell'Vue B3 . 83160La Valette du Var,hobbies_crafts
Vintage Japan Guitars,www.vintage-japan-guitars.com,4.9,250,34 rue Robert Thiboust . 77700Serris,hobbies_crafts
GOYON-CHAZEAU coutellerie,goyon-chazeau.com,4.9,158,"17, Chailas . 63650La Monnerie Le Montel",hobbies_crafts
Amay Sancha ,amaysanchashop.com,4.9,149,02100 . Saint-Quenitn,hobbies_crafts
Tienda Esquipulas,esquipulas.fr,4.9,104,20 rue Houdon . 75018Paris,hobbies_crafts
Legendya,legendya.com,4.9,4174,1 Z.A. de Guernéo . 56110ROUDOUALLEC,home_garden
Sosmembranes,www.sosmembranes.com,4.9,3591,16 RUE DE VILOTTE . 18170LE CHATELET,home_garden
Fenom,fenom.com,4.9,973,,home_garden
Guirled - Changez d'ambiance !,guirled.com,4.9,847,290 chemin de saint dionisy . 30980Langlade,home_garden
Boutique Etain,www.boutique-etain.com,4.9,361,Rue de l'Abbaye . 02240RIBEMONT,home_garden
Dépannage & Urgence plomberie,depannage-urgence-plomberie.fr,4.9,206,4 rue de sonnenbuhl  . 22130Corseul ,home_garden
Chezpluie,chezpluie.com,4.9,181,,home_garden
Oniros : Le Litier des tout petits,oniros.co,4.9,179,32 rue de la Caronnière  -  ZA du Planty .  86 300CHAUVIGNY,home_garden
GOYON-CHAZEAU coutellerie,goyon-chazeau.com,4.9,158,"17, Chailas . 63650La Monnerie Le Montel",home_garden
Tienda Esquipulas,esquipulas.fr,4.9,104,20 rue Houdon . 75018Paris,home_garden
Monsieur Toussaint Louverture,monsieurtoussaintlouverture.com,5.0,1353,16 rue du 8 mai 1945 . 33150Cenon,media_publishing
Ant Editions,ant-editions.com,5.0,216,,media_publishing
Karaoke Version,www.karaoke-version.com,4.9,1436,74 rue des Arts . 59000Lille,media_publishing
Josepho,www.josepho.fr,4.9,402,12 rue Palouzié . 93400Saint Ouen ,media_publishing
Plumes du Web,plumesduweb.com,4.9,258,,media_publishing
Ebook-Creation.fr,ebook-creation.fr,4.9,159,,media_publishing
Annuaire de sites internet Faitesvousconnaitre.com,faitesvousconnaitre.com,4.9,153,,media_publishing
Devenez Trader Pro - Andlil.com - Benoist Rousseau,andlil.com,4.9,93,,media_publishing
Michenaud,www.michenaud.com,4.8,6830,18 allée Baco . 44000Nantes,media_publishing
Smiirl,smiirl.com,4.8,1752,18/20 rue Soleillet . 75020Paris,media_publishing
Kris et jo,www.krisetjo.com,4.9,204,2 rue des Pointes . 34920Le Crès,restaurants_bars
Entrepôt Italien,entrepotitalien.fr,4.9,180,"Quartier de la Jouberte, 78 route de brignoles . 83143Le Val",restaurants_bars
Les chocolats du coeur,www.leschocolatsducoeur.fr,4.8,401,10 avenue Georges Auric . 72021Le Mans,restaurants_bars
Foodette,foodette.fr,4.7,626,28 rue Jacques Ibert . 92300Levallois,restaurants_bars
Divvino Paris,divvino.com,4.7,64,16 rue Elzevir . 75003Paris,restaurants_bars
Aurore Market,auroremarket.fr,4.6,7523,35 rue de la Gare . 12500Espalion,restaurants_bars
AYAKO SUSHI,ayakosushi.fr,4.5,3281,12 AV DU QUEBEC BP618 ZONE COURTABOEUF  . 91140VILLEBON SUR YVETTE ,restaurants_bars
Gustini - Passione italiana.,gustini.fr,4.5,1335,,restaurants_bars
Alancienne Lyon,deligreens.com,4.5,669,9 rue Alfred de Musset . 69100Villeurbanne,restaurants_bars
Madisfrais,madisfrais.com,4.5,239,,restaurants_bars
Med Assistance,medassistance.fr,4.9,228,,health_medical
Vision Direct FR,visiondirect.fr,4.8,10052,Rue de la Terre Victoria Parc Edonia Bât B  . 35760Saint-Grégoire,health_medical
Universpharmacie,www.universpharmacie.fr,4.8,3546,"97, route de Neuf Brisach . 68000COLMAR",health_medical
Dokteronline.com | Your online health service,www.dokteronline.com/fr,4.8,1966,,health_medical
Malea,www.malea-massage.com,4.8,1118,11 Voie Héméra . 31190Auterive,health_medical
Parapharmadirect,parapharmadirect.com,4.8,707,90 avenue du drapeau . 21000Dijon,health_medical
Odero,odero.com,4.8,135,8 Rue de l’Est . 92100Boulogne Billancourt,health_medical
Novela Global,www.novela-global.com,4.8,92,88 rue Pierre Demours . 75017Paris,health_medical
Meditechfr,meditechfr.com,4.8,83,,health_medical
Trusted Tablets Pharmacies : Génériques,www.trusted-tablets.eu,4.8,76,,health_medical
ilek,ilek.fr,4.9,2182,31000 . Toulouse,utilities
Dépannage photovoltaïque,www.onduleur-photovoltaique.com,4.8,478,6 C Rue de Belgique . 17138PUILBOREAU,utilities
Eco Solutions,eco-solutions-17.fr,4.8,165,22 Avenue Joliot-Curie . 17180Périgny,utilities
In Sun We Trust,insunwetrust.solar,4.8,137,49 Rue de Ponthieu . 75008 Paris,utilities
Eco Plus Habitat [LILLE POMPE A CHALEUR],eco-plus-habitat.fr,4.8,59,51 Rue de la Louvière . 59800Lille,utilities
OVO Energy,ovoenergy.fr,4.7,179,231 rue Saint Honoré . 75001Paris,utilities
Generale Assainissement,generale-assainissement.com,4.6,71,10 route de Lavaur . 31850BEAUPUY,utilities
Beem Energy,www.beemenergy.fr,4.6,39,11 rue de la Noue Bras de Fer . 44200Nantes,utilities
Pass Renov,passrenov.com,4.5,219,Rue Washington . 75008Paris,utilities
Mint Energie,www.mint-energie.com,4.4,5176,CS 40900 . 34965Montpellier Cedex 2,utilities
Dépannage & Urgence plomberie,depannage-urgence-plomberie.fr,4.9,206,4 rue de sonnenbuhl  . 22130Corseul ,home_services
France-Cadenas,www.france-cadenas.fr,4.8,2669,130 AV. JOSEPH KESSEL - BAT. F . 78960VOISINS-LE-BRETONNEUX,home_services
AS DE PIC,asdepic.com,4.8,817,53 rue de Maubeuge . 75009Paris,home_services
Caro-centre.fr,caro-centre.fr,4.8,794,"102, 2éme Avenue . 45130Meung sur loire",home_services
Pest Expert,www.pest-expert.fr,4.8,515,,home_services
Materielelectrique.com,materielelectrique.com,4.8,450,36 Rue Scheffer . 75116Paris,home_services
Bon Débarras,bondebarras.fr,4.8,442,,home_services
Dimo Diagnostic,dimo-diagnostic.net,4.8,338,325 avenue Maréchal Leclerc . 34400Lunel,home_services
Ecocarton.fr,www.ecocarton.fr,4.8,281,ZAC CROIX SUD - 55 RUE JOSEPH CUGNOT . 11100NARBONNE,home_services
YouStock,www.youstock.fr,4.8,186,17 Rue Alexandre Mari . 06300Nice,home_services
Flashbay,flashbay.fr,4.9,12911,,business_services
Nextories (ex i-Demenager),nextories.com,4.9,1875,9 Avenue de Clichy . 75017PARIS,business_services
Simplébo,simplebo.fr,4.9,1299,"43, boulevard Voltaire . 75011Paris",business_services
remerciementdeces.fr,remerciementdeces.fr,4.9,758,"2, cours Jean Jaurès . 38000GRENOBLE",business_services
Spliiit,spliiit.com,4.9,679,4 bis rue royer bendélé . 92230Gennevilliers,business_services
creation-logo.net,creation-logo.net,4.9,599,33400 . Talence,business_services
MineStrator,minestrator.com,4.9,537,,business_services
IP&Go,ipandgo.com,4.9,536,,business_services
Weglot,weglot.com,4.9,470,,business_services
Indy (ex Georges),indy.fr,4.9,429,94 rue Robert . 69006Lyon,business_services
Le Légaliste  Annonces Légales,lelegaliste.fr,4.8,2741,18 rue Boissière . 75116Paris,legal_services_government
L'Itinérant,www.litinerant.fr,4.8,2238,"3, rue de l'Atlas . 75019Paris",legal_services_government
www.yrytys.pro,www.yrytys.pro,4.8,1397,34 rue Gioffredo . 06000Nice,legal_services_government
Avocat GC,avocat-gc.com,4.8,1180,42 rue de Lübeck . 75116Paris,legal_services_government
Mes Allocs,mes-allocs.fr,4.8,774,3 rue Stephenson . 75018Paris,legal_services_government
France Cadastre,france-cadastre.fr,4.8,509,,legal_services_government
Formalizi,formalizi.fr,4.8,190,9 rue Anatole de la Forge . 75017Paris,legal_services_government
Legalcity,www.legalcity.fr,4.8,124,113 rue de la République . 13002MARSEILLE,legal_services_government
NeoNotario.com,neonotario.com,4.8,67,49 rue de Ponthieu . 75008Paris,legal_services_government
Créeruncv.com,www.creeruncv.com,4.7,1292,,legal_services_government
Coach Académie,www.coach-academie.fr,4.9,507,128 rue de la Boétie . 75008Paris,public_local_services
Happysitters,happysitters.fr,4.9,161,115 rue des Dames . 75008Paris,public_local_services
Mes Allocs,mes-allocs.fr,4.8,774,3 rue Stephenson . 75018Paris,public_local_services
Masterfengtrading,www.masterfengtrading.com,4.8,102,,public_local_services
Startdoc,startdoc.fr,4.8,69,,public_local_services
Icemind,icemind.com,4.8,43,10 rue d'amsterdam . 11100 narbonne,public_local_services
Balzeo,balzeo.com,4.7,124,,public_local_services
Humacitia,humacitia.fr,4.7,53,Mail François Mitterrand 81 . 35000Rennes,public_local_services
Plaque décès,plaquedeces.fr,4.6,693,"2, cours Jean Jaurès . 38000GRENOBLE",public_local_services
Les formations d'Antoine BM,antoinebm.com,4.6,318,66 avenue des Champs-Elysées . 75008Paris,public_local_services
Alexandre Rosenberg,alexandrerosenberg.fr,5.0,514,"4, avenue de la Gare . L1610Luxembourg",shopping_fashion
Chic Time,www.chic-time.fr,4.9,7119,,shopping_fashion
Gens de Confiance,gensdeconfiance.com,4.9,1058,,shopping_fashion
Objectif Horlogerie,www.objectifhorlogerie.fr,4.9,912,48 rue de Rivoli . 75004Paris,shopping_fashion
Les Fleurs Dupont,lesfleursdupont.com,4.9,706,67 rue de Créqui . 69006Lyon,shopping_fashion
Celinni,celinni.com,4.9,635,9 rue Buffault . 75009Paris,shopping_fashion
Newperle,newperle.fr,4.9,479,8 rue des Fauvettes . 25220THISE,shopping_fashion
Illustres Bidules,illustresbidules.com,4.9,432,,shopping_fashion
LNLM,lnlm.fr,4.9,424,245 rue Lecourbe . 75015PARIS,shopping_fashion
Verhoeven Joaillier,verhoeven-joaillier.com,4.9,336,37 Place Jean Bart . 59140Dunkerque,shopping_fashion
Vintage Football Area,vintagefootballarea.com,4.9,294,,sports
Cruisin City,cruisincity.com,4.9,167,,sports
Keputch,www.keputch.com,4.9,138,lieu-dit Villeray . 61110Sablons sur Huisne ,sports
L'Arène CrossFit Nakama,larenecrossfit-nakama.com,4.9,126,3 allée de la seine . 94200Ivry sur seine,sports
Demivolte,demivolte.fr,4.9,102,,sports
"Fenril.fr, Chiens actifs & Outdoor",fenril.fr,4.8,13855,Le Village - Chemin de la Tour . 38112MEAUDRE,sports
La Caméra Embarquée,www.lacameraembarquee.fr,4.8,11753,145 Avenue du 12 juillet 1998 . 13290Aix en Provence,sports
Meltonic,www.meltonic.fr,4.8,1679,Le Moulin de Beau Rivage . 49450St André de la Marche,sports
Snowcountry,snowcountry.fr,4.8,1568,Stoutenburgerlaan 17B . 3836 PCAmersfoort,sports
The Corner Shop,thecornershop.fr,4.8,1290,9 Impasse Dumur . 92110Clichy,sports
Terres d'Aventure,www.terdav.com,4.9,1292,30 rue Saint Augustin . 75002Paris,travel_vacation
Tunnels de lave Réunion: Rando-Volcan,www.rando-volcan.com,4.9,1056,11TER Allée des verveines . 97410SAINT PIERRE,travel_vacation
Ulysse,ulysse.travel,4.9,734,,travel_vacation
Visa Connect,visa-connect.fr,4.9,695,"6, rue de l'Isly . 75008Paris",travel_vacation
Kiwipal Voyages Nouvelle-Zélande,fr.kiwipal.com,4.9,80,Rue Descartes 25 . 75005Paris,travel_vacation
Autriche pro France,www.autriche.com,4.8,833,Glockengasse 4d . 5020Salzburg,travel_vacation
Promo Thalasso,promothalasso.com,4.8,432,66 Avenue des Champs Elysées  . 75008Paris,travel_vacation
Sportihome.com,sportihome.com,4.8,121,"Cap Omega, Rond-Point Benjamin Franklin . 34000Montpellier",travel_vacation
Icemind,icemind.com,4.8,43,10 rue d'amsterdam . 11100 narbonne,travel_vacation
votre loueur professionnel,www.bandofboats.com,4.7,11831,6 rue René Viviani . 44200Nantes,travel_vacation
British Legends,www.britishlegends.fr,4.9,1111,71230 . Saint-Vallier,vehicles_transportation
Sturny Jantes,sturny-jantes.fr,4.9,435,"38, route de strasbourg . 67600Sélestat",vehicles_transportation
LNLM,lnlm.fr,4.9,424,245 rue Lecourbe . 75015PARIS,vehicles_transportation
German-Bikes.fr,www.german-bikes.fr,4.9,367,112 route de Schirmeck . 67200Strasbourg,vehicles_transportation
Marseille Chauffeur Service,marseillechauffeurservice.com,4.9,187,13008 . Marseille,vehicles_transportation
123Roulement,www.123roulement.com,4.8,35588,CRT4 de Lesquin - Rue Leo Ferre . 59273Fretin,vehicles_transportation
"Fenril.fr, Chiens actifs & Outdoor",fenril.fr,4.8,13855,Le Village - Chemin de la Tour . 38112MEAUDRE,vehicles_transportation
Cycletyres.fr,cycletyres.fr,4.8,13334,30 allée des frênes . 73420Méry,vehicles_transportation
La Caméra Embarquée,www.lacameraembarquee.fr,4.8,11753,145 Avenue du 12 juillet 1998 . 13290Aix en Provence,vehicles_transportation
Purebike,purebike.fr,4.8,10604,15 rue Chalons . 79400Saint Maixent l'Ecole,vehicles_transportation
